Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
Maruti Suzuki,Baleno,3,57000.0,Automatic,second,Petrol,685000,Maruti Suzuki_Baleno,Recent,19000.0,10.950824090522445
Mahindra,Alturas G4,2,25000.0,Automatic,first,Diesel,2725000,Mahindra_Alturas G4,New,12500.0,10.12667110305036
Mahindra,Scorpio,7,92000.0,Manual,first,Diesel,1050000,Mahindra_Scorpio,Mid,13142.857142857143,11.429554725537322
MG,ASTOR,3,12110.0,Automatic,first,Petrol,1295000,MG_ASTOR,Recent,4036.6666666666665,9.401869409521051
Hyundai,New i20,2,13162.0,Automatic,first,Petrol,975000,Hyundai_New i20,New,6581.0,9.485165142425407
Toyota,Etios Liva,7,49000.0,Manual,first,Petrol,599000,Toyota_Etios Liva,Mid,7000.0,10.799595985047786
Maruti Suzuki,Alto 800,8,68000.0,Manual,second,Petrol,265000,Maruti Suzuki_Alto 800,Mid,8500.0,11.127277689932466
Audi,A6,11,110000.0,Automatic,second,Diesel,1150000,Audi_A6,Old,10000.0,11.608244735642321
Hyundai,Elite i20,7,52355.0,Manual,first,Petrol,499555,Hyundai_Elite i20,Mid,7479.285714285715,10.86582182291161
Hyundai,i10,11,40595.0,Automatic,second,Petrol,310000,Hyundai_i10,Old,3690.4545454545455,10.61142481856871
Mahindra,Thar,3,41000.0,Manual,second,Diesel,1450000,Mahindra_Thar,Recent,13666.666666666666,10.62135173563291
Maruti Suzuki,Omni,10,77500.0,Automatic,second,Petrol,1010000,Maruti Suzuki_Omni,Mid,7750.0,11.258046118484
Maruti Suzuki,Swift-Dzire,6,55000.0,Manual,first,Petrol,595000,Maruti Suzuki_Swift-Dzire,Mid,9166.666666666666,10.915106645867503
Hyundai,i10,11,80000.0,Automatic,second,Petrol,145000,Hyundai_i10,Old,7272.727272727273,11.289794413577894
Land Rover,Defender,0,7000.0,Automatic,first,Petrol,12700000,Land Rover_Defender,New,7000.0,8.853808274977197
Mercedes-Benz,GLA Class,8,71000.0,Automatic,second,Petrol,1990000,Mercedes-Benz_GLA Class,Mid,8875.0,11.170449240431308
Hyundai,Santro Xing,17,65000.0,Manual,second,Petrol,185000,Hyundai_Santro Xing,Old,3823.529411764706,11.082157933374816
Toyota,Innova Crysta,5,69000.0,Automatic,first,Diesel,2699000,Toyota_Innova Crysta,Recent,13800.0,11.141876276228
Maruti Suzuki,Ertiga,5,90000.0,Manual,first,Diesel,900000,Maruti Suzuki_Ertiga,Recent,18000.0,11.407576060361786
Fiat,Linea,15,79742.0,Manual,second,Petrol,165000,Fiat_Linea,Old,5316.133333333333,11.286564242500031
Audi,Q3,7,45000.0,Automatic,second,Diesel,1690000,Audi_Q3,Mid,6428.571428571428,10.714439990727769
Toyota,Innova Crysta,2,8000.0,Automatic,first,Diesel,3375000,Toyota_Innova Crysta,New,4000.0,8.987321812850125
Toyota,Etios,12,51000.0,Automatic,second,Petrol,260000,Toyota_Etios,Old,4250.0,10.839600519357369
BMW,3 Series GT,5,71000.0,Automatic,first,Diesel,2550000,BMW_3 Series GT,Recent,14200.0,11.170449240431308
Aston Martin,Vanquish,8,25700.0,Automatic,first,Petrol,26400000,Aston Martin_Vanquish,Mid,3212.5,10.154285180632154
Mercedes-Benz,C-Class,9,58000.0,Automatic,first,Diesel,2149999,Mercedes-Benz_C-Class,Mid,6444.444444444444,10.968215530759236
Toyota,Fortuner,0,2596.0,Manual,first,Diesel,3899999,Toyota_Fortuner,New,2596.0,7.862112211662748
Mahindra,Thar,1,24500.0,Automatic,first,Petrol,1410000,Mahindra_Thar,New,24500.0,10.106469212026385
Honda,City,3,125000.0,Manual,first,Diesel,1075000,Honda_City,Recent,41666.666666666664,11.736077016252437
Maruti Suzuki,Ciaz,7,79000.0,Automatic,second,Petrol,600000,Maruti Suzuki_Ciaz,Mid,11285.714285714286,11.277215789596893
Toyota,Innova Crysta,5,118000.0,Automatic,second,Diesel,1999000,Toyota_Innova Crysta,Recent,23600.0,11.678448377988165
BMW,5 Series,7,75000.0,Automatic,first,Diesel,4000000,BMW_5 Series,Mid,10714.285714285714,11.225256725762893
Mahindra,Bolero,7,105000.0,Manual,second,Diesel,620000,Mahindra_Bolero,Mid,15000.0,11.561725152903833
Maruti Suzuki,maruti-suzuki-brezza,3,35000.0,Manual,first,Petrol,851000,Maruti Suzuki_maruti-suzuki-brezza,Recent,11666.666666666666,10.463131911491967
Audi,A8 L,7,51000.0,Automatic,first,Diesel,3500000,Audi_A8 L,Mid,7285.714285714285,10.839600519357369
Kia,Seltos,2,30891.0,Automatic,first,Diesel,1875000,Kia_Seltos,New,15445.5,10.338252529689154
Hyundai,Alcazar,1,2500.0,Automatic,first,Petrol,1800000,Hyundai_Alcazar,New,2500.0,7.824445930877619
Maruti Suzuki,Swift,5,32000.0,Manual,second,Petrol,575000,Maruti Suzuki_Swift,Recent,6400.0,10.373522431293592
Mahindra,Thar,3,66000.0,Manual,first,Diesel,1425000,Mahindra_Thar,Recent,22000.0,11.097425172408931
Volvo,V40 Cross Country,8,75000.0,Automatic,first,Petrol,1375000,Volvo_V40 Cross Country,Mid,9375.0,11.225256725762893
