Brand,model,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,Brand_Model,AgeGroup,km_per_year,log_kmDriven
Maruti Suzuki,Wagon-R,7,36000.0,Manual,first,Petrol,394000,Maruti Suzuki_Wagon-R,Mid,5142.857142857143,10.491301994830229
Mercedes-Benz,GLA,1,7500.0,Automatic,first,Diesel,5500000,Mercedes-Benz_GLA,New,7500.0,8.922791623969637
Honda,City,3,38000.0,Automatic,first,Petrol,1195000,Honda_City,Recent,12666.666666666666,10.545367754151743
Renault,Triber,4,27500.0,Manual,first,Petrol,520000,Renault_Triber,Recent,6875.0,10.221977646629885
Mercedes-Benz,GLE Class,8,48000.0,Automatic,second,Diesel,2875000,Mercedes-Benz_GLE Class,Mid,6000.0,10.778977123006351
Mahindra,Marazzo,6,87000.0,Manual,first,Diesel,700000,Mahindra_Marazzo,Mid,14500.0,11.373674891823535
Maruti Suzuki,Celerio,9,63000.0,Automatic,first,Petrol,385000,Maruti Suzuki_Celerio,Mid,7000.0,11.050905878263567
Mahindra,Scorpio,14,102000.0,Manual,first,Diesel,285999,Mahindra_Scorpio,Old,7285.714285714285,11.532737896139919
Honda,City,11,87000.0,Manual,second,Petrol,575000,Honda_City,Old,7909.090909090909,11.373674891823535
Jeep,Compass,6,92000.0,Manual,second,Diesel,900000,Jeep_Compass,Mid,15333.333333333334,11.429554725537322
Ford,Figo,11,82008.0,Manual,second,Diesel,128999,Ford_Figo,Old,7455.272727272727,11.314584276321192
Honda,City,6,38000.0,Automatic,second,Petrol,715000,Honda_City,Mid,6333.333333333333,10.545367754151743
Honda,City,11,79000.0,Automatic,second,Petrol,530000,Honda_City,Old,7181.818181818182,11.277215789596893
Maruti Suzuki,S-Presso,4,55000.0,Manual,second,Petrol,340000,Maruti Suzuki_S-Presso,Recent,13750.0,10.915106645867503
Mahindra,Bolero,12,138500.0,Manual,second,Diesel,609000,Mahindra_Bolero,Old,11541.666666666666,11.83863282480007
Volkswagen,Polo,8,102000.0,Manual,second,Petrol,550000,Volkswagen_Polo,Mid,12750.0,11.532737896139919
Skoda,Superb,6,0.0,Automatic,first,Petrol,1399999,Skoda_Superb,Mid,0.0,0.0
Skoda,Rapid,8,78000.0,Manual,first,Diesel,539999,Skoda_Rapid,Mid,9750.0,11.264476926102367
Kia,Sonet,2,29000.0,Automatic,first,Diesel,1260000,Kia_Sonet,New,14500.0,10.275085591132715
Chevrolet,Beat,10,85000.0,Automatic,second,Diesel,99000,Chevrolet_Beat,Mid,8500.0,11.350418300109132
Maruti Suzuki,Grand Vitara,0,2480.0,Manual,first,Petrol,1350000,Maruti Suzuki_Grand Vitara,New,2480.0,7.816416983691801
Toyota,Innova,10,155000.0,Manual,first,Diesel,825000,Toyota_Innova,Mid,15500.0,11.951186847493476
Hyundai,i20,12,180000.0,Manual,first,Diesel,299000,Hyundai_i20,Old,15000.0,12.100717685412471
Renault,Duster,10,95000.0,Manual,first,Diesel,449000,Renault_Duster,Mid,9500.0,11.461642696843066
Hyundai,Accent,15,54000.0,Manual,second,Petrol,125000,Hyundai_Accent,Old,3600.0,10.896757843893464
Maruti Suzuki,Brezza,7,68000.0,Manual,second,Diesel,570000,Maruti Suzuki_Brezza,Mid,9714.285714285714,11.127277689932466
Audi,A4,15,85120.0,Automatic,second,Petrol,975000,Audi_A4,Old,5674.666666666667,11.351829052626764
Honda,City,12,66147.0,Automatic,second,Petrol,351000,Honda_City,Old,5512.25,11.099649934770087
Mahindra,Marshal,24,55000.0,Manual,second,Diesel,15000,Mahindra_Marshal,Old,2291.6666666666665,10.915106645867503
Maruti Suzuki,Wagon-R,7,82000.0,Manual,second,Petrol,395000,Maruti Suzuki_Wagon-R,Mid,11714.285714285714,11.314486721293981
Ford,Endeavour,7,91535.0,Automatic,second,Diesel,1895000,Ford_Endeavour,Mid,13076.42857142857,11.42448761650831
Maruti Suzuki,Celerio,7,80000.0,Manual,second,Petrol,240000,Maruti Suzuki_Celerio,Mid,11428.57142857143,11.289794413577894
Maruti Suzuki,Ritz,13,78000.0,Manual,second,Petrol,310000,Maruti Suzuki_Ritz,Old,6000.0,11.264476926102367
Volkswagen,Vento,12,65000.0,Manual,first,Diesel,380000,Volkswagen_Vento,Old,5416.666666666667,11.082157933374816
Tata,Tiago,7,120000.0,Manual,first,Diesel,425000,Tata_Tiago,Mid,17142.85714285714,11.695255355062795
Maruti Suzuki,Swift,6,75000.0,Automatic,second,Diesel,525000,Maruti Suzuki_Swift,Mid,12500.0,11.225256725762893
Maruti Suzuki,Swift-Dzire-Tour,6,121331.0,Automatic,first,Diesel,525000,Maruti Suzuki_Swift-Dzire-Tour,Mid,20221.833333333332,11.7062858688794
Kia,Seltos,2,85000.0,Manual,first,Diesel,1160000,Kia_Seltos,New,42500.0,11.350418300109132
Volkswagen,VentoTest,6,68000.0,Automatic,second,Diesel,799999,Volkswagen_VentoTest,Mid,11333.333333333334,11.127277689932466
Honda,City,21,70000.0,Manual,second,Petrol,230000,Honda_City,Old,3333.3333333333335,11.156264806643742
Mahindra,Jeep,34,9000.0,Manual,second,Diesel,250000,Mahindra_Jeep,Old,264.70588235294116,9.105090961257085
BMW,7 Series,14,91000.0,Automatic,first,Diesel,999000,BMW_7 Series,Old,6500.0,11.418625774449598
Hyundai,Creta,2,48000.0,Manual,first,Diesel,1620000,Hyundai_Creta,New,24000.0,10.778977123006351
BMW,X7,2,32000.0,Automatic,first,Diesel,10700000,BMW_X7,New,16000.0,10.373522431293592
Maruti Suzuki,Ertiga,5,38500.0,Manual,second,Petrol,799000,Maruti Suzuki_Ertiga,Recent,7700.0,10.55843949396453
Honda,City,4,60766.0,Automatic,first,Petrol,1150000,Honda_City,Recent,15191.5,11.014802157447122
Hyundai,Eon,6,43000.0,Manual,second,Petrol,280000,Hyundai_Eon,Mid,7166.666666666667,10.668978650219241
Skoda,Fabia,16,80000.0,Manual,second,Petrol,235000,Skoda_Fabia,Old,5000.0,11.289794413577894
Tata,Indigo Ecs,10,95000.0,Manual,second,Diesel,250000,Tata_Indigo Ecs,Mid,9500.0,11.461642696843066
Maruti Suzuki,XL6,5,52500.0,Manual,second,Petrol,875000,Maruti Suzuki_XL6,Recent,10500.0,10.868587496017359
Audi,A5,13,90000.0,Automatic,second,Diesel,1275000,Audi_A5,Old,6923.076923076923,11.407576060361786
Renault,Duster,11,96000.0,Manual,second,Diesel,350000,Renault_Duster,Old,8727.272727272728,11.472113887062386
Toyota,Fortuner,9,155000.0,Automatic,second,Diesel,1745000,Toyota_Fortuner,Mid,17222.222222222223,11.951186847493476
Hyundai,Eon,10,62000.0,Manual,first,Petrol,185000,Hyundai_Eon,Mid,6200.0,11.034905792929415
Volkswagen,Polo,11,75000.0,Manual,second,Diesel,295000,Volkswagen_Polo,Old,6818.181818181818,11.225256725762893
BMW,5 Series,6,82000.0,Automatic,second,Diesel,2475000,BMW_5 Series,Mid,13666.666666666666,11.314486721293981
Maruti Suzuki,XL6,3,45000.0,Manual,second,Petrol,1025000,Maruti Suzuki_XL6,Recent,15000.0,10.714439990727769
Hyundai,Verna,13,132000.0,Automatic,second,Petrol,310000,Hyundai_Verna,Old,10153.846153846154,11.790564777297387
Maruti Suzuki,Sx4,15,69000.0,Manual,second,Petrol,270000,Maruti Suzuki_Sx4,Old,4600.0,11.141876276228
Maruti Suzuki,Swift-Dzire,10,58000.0,Manual,second,Petrol,425000,Maruti Suzuki_Swift-Dzire,Mid,5800.0,10.968215530759236
Honda,City,4,69000.0,Manual,first,Petrol,899000,Honda_City,Recent,17250.0,11.141876276228
Maruti Suzuki,Jimny,1,1800.0,Automatic,first,Petrol,1450000,Maruti Suzuki_Jimny,New,1800.0,7.496097345175956
Land Rover,Range Rover Sport,13,73000.0,Automatic,second,Diesel,1850000,Land Rover_Range Rover Sport,Old,5615.384615384615,11.19822841866684
Mahindra,XUV500,8,100000.0,Manual,first,Diesel,650000,Mahindra_XUV500,Mid,12500.0,11.51293546492023
Chevrolet,Tavera,16,95000.0,Automatic,second,Diesel,130000,Chevrolet_Tavera,Old,5937.5,11.461642696843066
Hyundai,Grand i10 Nios,4,40000.0,Manual,first,Petrol,565000,Hyundai_Grand i10 Nios,Recent,10000.0,10.596659732783579
Hyundai,Verna,6,110000.0,Automatic,first,Diesel,990000,Hyundai_Verna,Mid,18333.333333333332,11.608244735642321
Ford,Ecosport,7,82000.0,Automatic,first,Petrol,575000,Ford_Ecosport,Mid,11714.285714285714,11.314486721293981
Maruti Suzuki,Wagon-R,8,14352.0,Automatic,second,Petrol,372000,Maruti Suzuki_Wagon-R,Mid,1794.0,9.57171425857138
Volkswagen,CrossPolo,9,61000.0,Manual,second,Petrol,375000,Volkswagen_CrossPolo,Mid,6777.777777777777,11.0186455364637
Hyundai,Grand i10,7,42000.0,Manual,first,Petrol,445000,Hyundai_Grand i10,Mid,6000.0,10.645448706505872
Mini,Cooper Countryman,11,38000.0,Automatic,second,Petrol,2100000,Mini_Cooper Countryman,Old,3454.5454545454545,10.545367754151743
Toyota,Innova,11,146000.0,Manual,second,Diesel,649000,Toyota_Innova,Old,13272.727272727272,11.891368749982085
Maruti Suzuki,Ciaz,9,82000.0,Manual,second,Diesel,375000,Maruti Suzuki_Ciaz,Mid,9111.111111111111,11.314486721293981
Maruti Suzuki,Ritz,13,120000.0,Manual,second,Diesel,220000,Maruti Suzuki_Ritz,Old,9230.76923076923,11.695255355062795
Honda,Jazz,6,21500.0,Automatic,first,Petrol,660000,Honda_Jazz,Mid,3583.3333333333335,9.975854724662028
Maruti Suzuki,Vitara-Brezza,7,72000.0,Manual,first,Diesel,595000,Maruti Suzuki_Vitara-Brezza,Mid,10285.714285714286,11.184435286790631
Maruti Suzuki,Swift,9,100000.0,Manual,second,Diesel,525000,Maruti Suzuki_Swift,Mid,11111.111111111111,11.51293546492023
Maruti Suzuki,Swift,6,65000.0,Automatic,first,Diesel,540000,Maruti Suzuki_Swift,Mid,10833.333333333334,11.082157933374816
Honda,City,8,59000.0,Automatic,second,Petrol,725000,Honda_City,Mid,7375.0,10.985309671896763
Mahindra,Scorpio,6,84000.0,Manual,first,Diesel,1185000,Mahindra_Scorpio,Mid,14000.0,11.338583982516495
Honda,Amaze,10,110000.0,Manual,first,Petrol,365000,Honda_Amaze,Mid,11000.0,11.608244735642321
Nissan,Terrano,9,74000.0,Manual,second,Diesel,315000,Nissan_Terrano,Mid,8222.222222222223,11.211833885608513
Mercedes-Benz,E-Class,15,60000.0,Automatic,second,Petrol,550000,Mercedes-Benz_E-Class,Old,4000.0,11.002116507732017
Renault,KWID,5,34000.0,Automatic,first,Petrol,365000,Renault_KWID,Recent,6800.0,10.434145214930487
Toyota,Innova,12,12000.0,Manual,second,Diesel,950000,Toyota_Innova,Old,1000.0,9.392745258631441
Toyota,Fortuner,9,170000.0,Automatic,first,Diesel,1225000,Toyota_Fortuner,Mid,18888.88888888889,12.04355959836804
Mahindra,Marazzo,6,75000.0,Manual,second,Diesel,725000,Mahindra_Marazzo,Mid,12500.0,11.225256725762893
Hyundai,i20,8,80000.0,Manual,first,Petrol,430000,Hyundai_i20,Mid,10000.0,11.289794413577894
Mahindra,XUV500,6,15000.0,Manual,first,Diesel,1395000,Mahindra_XUV500,Mid,2500.0,9.61587214452889
Volvo,S60,9,62000.0,Automatic,first,Diesel,725000,Volvo_S60,Mid,6888.888888888889,11.034905792929415
Maruti Suzuki,Ertiga,11,99000.0,Manual,first,Diesel,590000,Maruti Suzuki_Ertiga,Old,9000.0,11.502885230075814
Honda,City,3,38000.0,Automatic,first,Petrol,1198000,Honda_City,Recent,12666.666666666666,10.545367754151743
Toyota,Innova,15,141000.0,Manual,second,Diesel,425000,Toyota_Innova,Old,9400.0,11.856522261533737
Mercedes-Benz,S-Class,10,66000.0,Automatic,second,Diesel,3800000,Mercedes-Benz_S-Class,Mid,6600.0,11.097425172408931
Hyundai,i10,15,38600.0,Manual,first,Petrol,215000,Hyundai_i10,Old,2573.3333333333335,10.5610334618531
Toyota,Corolla Altis,7,101500.0,Manual,second,Petrol,750000,Toyota_Corolla Altis,Mid,14500.0,11.527823929632195
Hyundai,Grand i10,8,64000.0,Manual,first,Petrol,410000,Hyundai_Grand i10,Mid,8000.0,11.06665398721974
Toyota,2.8 Legender 4X2,2,69000.0,Automatic,first,Diesel,4090000,Toyota_2.8 Legender 4X2,New,34500.0,11.141876276228
Toyota,Glanza,3,22000.0,Manual,second,Petrol,840000,Toyota_Glanza,Recent,7333.333333333333,9.99884318585288
Hyundai,Venue,5,50000.0,Manual,first,Diesel,955000,Hyundai_Venue,Recent,10000.0,10.819798284210286
Tata,Tiago,7,29000.0,Manual,first,Petrol,410000,Tata_Tiago,Mid,4142.857142857143,10.275085591132715
Mercedes-Benz,CLS-Class,11,129000.0,Automatic,second,Diesel,1750000,Mercedes-Benz_CLS-Class,Old,11727.272727272728,11.767575435251748
Mercedes-Benz,GLS,4,60000.0,Automatic,first,Diesel,9850000,Mercedes-Benz_GLS,Recent,15000.0,11.002116507732017
Kia,Seltos,4,50000.0,Automatic,second,Diesel,1400000,Kia_Seltos,Recent,12500.0,10.819798284210286
Hyundai,Creta,3,33000.0,Automatic,first,Petrol,1245000,Hyundai_Creta,Recent,11000.0,10.404293143019792
Toyota,Fortuner,10,96000.0,Automatic,second,Diesel,1995000,Toyota_Fortuner,Mid,9600.0,11.472113887062386
Hyundai,i20,10,62500.0,Manual,second,Petrol,349000,Hyundai_i20,Mid,6250.0,11.042937835596494
Hyundai,Santro Xing,13,130000.0,Manual,first,Petrol,185000,Hyundai_Santro Xing,Old,10000.0,11.775297421715827
Renault,Duster,6,83000.0,Automatic,second,Diesel,925000,Renault_Duster,Mid,13833.333333333334,11.326607934898927
Maruti Suzuki,S-Cross1,6,82758.0,Manual,second,Diesel,610000,Maruti Suzuki_S-Cross1,Mid,13793.0,11.32368804865453
Honda,City,8,109000.0,Manual,second,Diesel,640000,Honda_City,Mid,13625.0,11.599112335481124
Ford,Ecosport,7,65000.0,Manual,first,Diesel,525000,Ford_Ecosport,Mid,9285.714285714286,11.082157933374816
Renault,KWID,5,5800.0,Automatic,first,Petrol,299000,Renault_KWID,Recent,1160.0,8.665785595466064
Ford,Ecosport,4,92000.0,Manual,second,Diesel,830000,Ford_Ecosport,Recent,23000.0,11.429554725537322
Honda,WRV,6,59000.0,Manual,second,Diesel,845000,Honda_WRV,Mid,9833.333333333334,10.985309671896763
Mercedes-Benz,E-Class,10,84000.0,Automatic,second,Diesel,1395000,Mercedes-Benz_E-Class,Mid,8400.0,11.338583982516495
Ford,Ecosport,10,70000.0,Manual,second,Diesel,221000,Ford_Ecosport,Mid,7000.0,11.156264806643742
Maruti Suzuki,Swift,6,45000.0,Manual,first,Petrol,545000,Maruti Suzuki_Swift,Mid,7500.0,10.714439990727769
Maruti Suzuki,Wagon-R,8,48231.0,Manual,first,Petrol,335101,Maruti Suzuki_Wagon-R,Mid,6028.875,10.78377798016924
Mahindra,XUV500,3,78000.0,Automatic,first,Diesel,1500000,Mahindra_XUV500,Recent,26000.0,11.264476926102367
Maruti Suzuki,Celerio,5,65000.0,Manual,first,Petrol,480000,Maruti Suzuki_Celerio,Recent,13000.0,11.082157933374816
Hyundai,i20,1,58000.0,Manual,first,Diesel,925000,Hyundai_i20,New,58000.0,10.968215530759236
Nissan,Terrano,8,98000.0,Manual,first,Diesel,620000,Nissan_Terrano,Mid,12250.0,11.49273296168228
BMW,7 Series,3,18000.0,Automatic,first,Diesel,8400000,BMW_7 Series,Recent,6000.0,9.798182590890704
Ford,Ecosport,10,31000.0,Automatic,second,Petrol,491000,Ford_Ecosport,Mid,3100.0,10.34177474101152
Renault,Duster,7,89000.0,Manual,first,Diesel,745000,Renault_Duster,Mid,12714.285714285714,11.39640288460621
Toyota,Fortuner,3,65000.0,Automatic,first,Diesel,3851000,Toyota_Fortuner,Recent,21666.666666666668,11.082157933374816
Audi,A6,7,95000.0,Automatic,second,Diesel,1895000,Audi_A6,Mid,13571.42857142857,11.461642696843066
Honda,Jazz,7,91000.0,Automatic,first,Petrol,471000,Honda_Jazz,Mid,13000.0,11.418625774449598
Mercedes-Benz,S-Class,8,46000.0,Automatic,first,Petrol,7300000,Mercedes-Benz_S-Class,Mid,5750.0,10.736418414365376
Mercedes-Benz,AMG GLE Coupe,4,50000.0,Automatic,second,Petrol,9900000,Mercedes-Benz_AMG GLE Coupe,Recent,12500.0,10.819798284210286
Volkswagen,Polo,6,70000.0,Manual,second,Petrol,549000,Volkswagen_Polo,Mid,11666.666666666666,11.156264806643742
Honda,City,9,75000.0,Automatic,second,Petrol,585000,Honda_City,Mid,8333.333333333334,11.225256725762893
Maruti Suzuki,Swift,2,33000.0,Automatic,first,Petrol,755000,Maruti Suzuki_Swift,New,16500.0,10.404293143019792
Mini,Countryman,12,7400.0,Automatic,second,Petrol,1250000,Mini_Countryman,Old,616.6666666666666,8.909370405197466
Renault,KWID,8,13340.0,Automatic,first,Petrol,335000,Renault_KWID,Mid,1667.5,9.498597279178806
Hyundai,Creta,1,21000.0,Manual,first,Diesel,1495000,Hyundai_Creta,New,21000.0,9.952325334619427
Ford,Ecosport,7,57000.0,Manual,first,Diesel,540000,Ford_Ecosport,Mid,8142.857142857143,10.950824090522445
Hyundai,i10,16,77000.0,Manual,second,Petrol,145000,Hyundai_i10,Old,4812.5,11.251573687764477
Tata,Harrier,4,102000.0,Automatic,first,Diesel,1550000,Tata_Harrier,Recent,25500.0,11.532737896139919
Audi,A6,13,51000.0,Automatic,second,Petrol,1350000,Audi_A6,Old,3923.076923076923,10.839600519357369
Mahindra,Bolero,9,130222.0,Manual,first,Diesel,460000,Mahindra_Bolero,Mid,14469.111111111111,11.777003644461285
Maruti Suzuki,Alto-K10,9,59552.0,Automatic,second,Petrol,340000,Maruti Suzuki_Alto-K10,Mid,6616.888888888889,10.994621951348279
Tata,Nano,13,40000.0,Manual,second,Petrol,45000,Tata_Nano,Old,3076.923076923077,10.596659732783579
Hyundai,Grand i10,9,114000.0,Automatic,second,Petrol,375000,Hyundai_Grand i10,Mid,12666.666666666666,11.643962499267984
Hyundai,Creta,0,3100.0,Automatic,first,Petrol,2190000,Hyundai_Creta,New,3100.0,8.03947991910045
Audi,A6,9,82000.0,Automatic,first,Diesel,1670000,Audi_A6,Mid,9111.111111111111,11.314486721293981
Chevrolet,Sail U-VA,11,73500.0,Manual,second,Diesel,219000,Chevrolet_Sail U-VA,Old,6681.818181818182,11.205054290550551
Hyundai,Grand i10,5,68000.0,Manual,second,Petrol,475000,Hyundai_Grand i10,Recent,13600.0,11.127277689932466
Maruti Suzuki,Baleno,6,31000.0,Automatic,first,Petrol,685000,Maruti Suzuki_Baleno,Mid,5166.666666666667,10.34177474101152
Maruti Suzuki,Ertiga,5,73110.0,Manual,first,Diesel,1145000,Maruti Suzuki_Ertiga,Recent,14622.0,11.19973411321324
Mahindra,Scorpio,8,58580.0,Manual,second,Diesel,985000,Mahindra_Scorpio,Mid,7322.5,10.978165690908607
Hyundai,i20,2,13262.0,Automatic,first,Petrol,985000,Hyundai_i20,New,6631.0,9.492733482494353
Toyota,Fortuner,2,35000.0,Automatic,first,Diesel,4200000,Toyota_Fortuner,New,17500.0,10.463131911491967
Tata,Nano,9,47000.0,Automatic,second,Petrol,269000,Tata_Nano,Mid,5222.222222222223,10.757924157061597
Toyota,Innova,16,100000.0,Manual,second,Diesel,335000,Toyota_Innova,Old,6250.0,11.51293546492023
Chevrolet,Enjoy,10,150000.0,Manual,second,Diesel,350000,Chevrolet_Enjoy,Mid,15000.0,11.918397239722838
Toyota,Innova,12,200000.0,Manual,second,Diesel,599000,Toyota_Innova,Old,16666.666666666668,12.206077645517674
Mercedes-Benz,GLS,2,28000.0,Automatic,first,Petrol,11800000,Mercedes-Benz_GLS,New,14000.0,10.239995502805316
Mahindra,XUV700,1,17000.0,Automatic,first,Diesel,2570000,Mahindra_XUV700,New,17000.0,9.741027444837728
Toyota,Innova,11,130000.0,Manual,second,Diesel,985000,Toyota_Innova,Old,11818.181818181818,11.775297421715827
Honda,Mobilio,9,133000.0,Manual,second,Diesel,950000,Honda_Mobilio,Mid,14777.777777777777,11.798111925972618
Renault,Duster,7,105000.0,Manual,first,Diesel,645000,Renault_Duster,Mid,15000.0,11.561725152903833
Volkswagen,Polo,13,85000.0,Manual,second,Diesel,225000,Volkswagen_Polo,Old,6538.461538461538,11.350418300109132
Hyundai,Grand i10,7,31000.0,Manual,second,Petrol,475000,Hyundai_Grand i10,Mid,4428.571428571428,10.34177474101152
Mahindra,TUV,9,53000.0,Manual,second,Diesel,395000,Mahindra_TUV,Mid,5888.888888888889,10.87806606028079
Renault,Fluence,12,102506.0,Automatic,second,Petrol,315000,Renault_Fluence,Old,8542.166666666666,11.537686367911688
Honda,City ZX,4,70000.0,Automatic,second,Petrol,1100000,Honda_City ZX,Recent,17500.0,11.156264806643742
Maruti Suzuki,Ciaz,9,148000.0,Manual,second,Diesel,680000,Maruti Suzuki_Ciaz,Mid,16444.444444444445,11.904974309480183
Kia,Seltos,3,46000.0,Manual,first,Diesel,1085000,Kia_Seltos,Recent,15333.333333333334,10.736418414365376
Chevrolet,Beat,12,105000.0,Manual,second,Diesel,210000,Chevrolet_Beat,Old,8750.0,11.561725152903833
Nissan,Micra,8,54000.0,Automatic,first,Petrol,399000,Nissan_Micra,Mid,6750.0,10.896757843893464
Maruti Suzuki,Alto,12,20.0,Manual,second,Petrol,175000,Maruti Suzuki_Alto,Old,1.6666666666666667,3.044522437723423
Maruti Suzuki,Swift,3,15505.0,Manual,second,Petrol,590000,Maruti Suzuki_Swift,Recent,5168.333333333333,9.648982324778904
Lexus,NX,6,40000.0,Automatic,second,Petrol,4250000,Lexus_NX,Mid,6666.666666666667,10.596659732783579
Ford,Fiesta,13,96000.0,Manual,second,Diesel,110000,Ford_Fiesta,Old,7384.615384615385,11.472113887062386
Mahindra,Bolero,7,3.0,Manual,first,Diesel,350000,Mahindra_Bolero,Mid,0.42857142857142855,1.3862943611198906
Renault,Pulse,10,64000.0,Manual,second,Petrol,175000,Renault_Pulse,Mid,6400.0,11.06665398721974
Maruti Suzuki,800,18,65328.0,Manual,second,Petrol,45000,Maruti Suzuki_800,Old,3629.3333333333335,11.087191320814231
Mercedes-Benz,E-Class,14,31300.0,Automatic,first,Petrol,1800000,Mercedes-Benz_E-Class,Old,2235.714285714286,10.351405324899678
Maruti Suzuki,Ciaz,9,84000.0,Manual,second,Diesel,460000,Maruti Suzuki_Ciaz,Mid,9333.333333333334,11.338583982516495
Tata,Zest,10,86000.0,Manual,second,Diesel,379000,Tata_Zest,Mid,8600.0,11.362114203075018
Maruti Suzuki,Alto,12,85000.0,Manual,second,Petrol,145000,Maruti Suzuki_Alto,Old,7083.333333333333,11.350418300109132
Hyundai,Elite i20,6,64000.0,Manual,first,Petrol,490000,Hyundai_Elite i20,Mid,10666.666666666666,11.06665398721974
Maruti Suzuki,Alto-800,14,75200.0,Manual,second,Petrol,149999,Maruti Suzuki_Alto-800,Old,5371.428571428572,11.227919807721856
Maruti Suzuki,S-Presso,2,25000.0,Automatic,first,Petrol,525000,Maruti Suzuki_S-Presso,New,12500.0,10.12667110305036
Toyota,Innova Crysta,8,88500.0,Automatic,first,Diesel,2125000,Toyota_Innova Crysta,Mid,11062.5,11.390769130367211
Hyundai,i20 Active,9,79864.0,Manual,second,Diesel,535000,Hyundai_i20 Active,Mid,8873.777777777777,11.288092988224056
Hyundai,Santro,5,29000.0,Automatic,second,Petrol,425000,Hyundai_Santro,Recent,5800.0,10.275085591132715
Skoda,Rapid,12,87000.0,Manual,first,Diesel,320000,Skoda_Rapid,Old,7250.0,11.373674891823535
Maruti Suzuki,Eeco,11,90000.0,Manual,second,Petrol,255000,Maruti Suzuki_Eeco,Old,8181.818181818182,11.407576060361786
Hyundai,Verna,6,63000.0,Automatic,first,Diesel,1100000,Hyundai_Verna,Mid,10500.0,11.050905878263567
Maruti Suzuki,Brezza,5,84000.0,Automatic,second,Diesel,865000,Maruti Suzuki_Brezza,Recent,16800.0,11.338583982516495
Maruti Suzuki,Eeco,4,32000.0,Manual,first,Petrol,460000,Maruti Suzuki_Eeco,Recent,8000.0,10.373522431293592
Honda,City,9,41000.0,Automatic,second,Petrol,645000,Honda_City,Mid,4555.555555555556,10.62135173563291
Renault,KWID,7,60000.0,Automatic,first,Petrol,310000,Renault_KWID,Mid,8571.42857142857,11.002116507732017
Toyota,Innova Crysta,2,15000.0,Manual,first,Diesel,2340000,Toyota_Innova Crysta,New,7500.0,9.61587214452889
Hyundai,Verna,8,57000.0,Manual,first,Petrol,590000,Hyundai_Verna,Mid,7125.0,10.950824090522445
Hyundai,Elantra,10,68000.0,Manual,first,Diesel,399999,Hyundai_Elantra,Mid,6800.0,11.127277689932466
Toyota,Corolla Altis,9,68000.0,Automatic,second,Petrol,600000,Toyota_Corolla Altis,Mid,7555.555555555556,11.127277689932466
Mahindra,Scorpio,5,87000.0,Manual,first,Diesel,1450000,Mahindra_Scorpio,Recent,17400.0,11.373674891823535
Volvo,XC60,9,155600.0,Automatic,second,Diesel,1295000,Volvo_XC60,Mid,17288.88888888889,11.955050317440996
Hyundai,Sonata,10,78000.0,Automatic,second,Petrol,475000,Hyundai_Sonata,Mid,7800.0,11.264476926102367
Maruti Suzuki,Celerio,4,28000.0,Manual,first,Petrol,500000,Maruti Suzuki_Celerio,Recent,7000.0,10.239995502805316
Maruti Suzuki,Eeco,12,68000.0,Manual,first,Petrol,265000,Maruti Suzuki_Eeco,Old,5666.666666666667,11.127277689932466
Maruti Suzuki,Swift-Dzire,10,60000.0,Manual,first,Diesel,320000,Maruti Suzuki_Swift-Dzire,Mid,6000.0,11.002116507732017
Hyundai,Grand i10,9,63000.0,Automatic,second,Petrol,375000,Hyundai_Grand i10,Mid,7000.0,11.050905878263567
Volkswagen,Polo,3,57300.0,Automatic,second,Petrol,1100000,Volkswagen_Polo,Recent,19100.0,10.956073354557526
Honda,City,7,55000.0,Automatic,second,Petrol,721000,Honda_City,Mid,7857.142857142857,10.915106645867503
Renault,Duster,5,106000.0,Manual,first,Diesel,700000,Renault_Duster,Recent,21200.0,11.571203807011969
Hyundai,i10,13,58000.0,Manual,first,Petrol,290000,Hyundai_i10,Old,4461.538461538462,10.968215530759236
Hyundai,Creta,2,112000.0,Manual,first,Diesel,1375000,Hyundai_Creta,New,56000.0,11.626263078808801
Jeep,Compass,5,67000.0,Automatic,first,Petrol,1395000,Jeep_Compass,Recent,13400.0,11.112462823634855
Toyota,Innova,9,125000.0,Manual,second,Diesel,775000,Toyota_Innova,Mid,13888.888888888889,11.736077016252437
Toyota,Corolla Altis,13,128000.0,Manual,first,Diesel,369999,Toyota_Corolla Altis,Old,9846.153846153846,11.759793355371237
Maruti Suzuki,Swift-Dzire,6,27000.0,Automatic,second,Petrol,615000,Maruti Suzuki_Swift-Dzire,Mid,4500.0,10.203629181337648
Volkswagen,Polo,5,18000.0,Automatic,first,Petrol,799999,Volkswagen_Polo,Recent,3600.0,9.798182590890704
Mercedes-Benz,CLA,5,48000.0,Automatic,second,Diesel,3450000,Mercedes-Benz_CLA,Recent,9600.0,10.778977123006351
Maruti Suzuki,Wagon-R-1-0,6,64344.0,Automatic,first,Petrol,400000,Maruti Suzuki_Wagon-R-1-0,Mid,10724.0,11.072014509927765
Honda,Civic,16,12.0,Manual,second,Petrol,120000,Honda_Civic,Old,0.75,2.5649493574615367
Toyota,Fortuner,2,45000.0,Automatic,first,Diesel,4100000,Toyota_Fortuner,New,22500.0,10.714439990727769
Skoda,Rapid,12,76000.0,Manual,second,Diesel,435000,Skoda_Rapid,Old,6333.333333333333,11.23850177707664
